w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled,acceptance,acceptance_no_wt,luminosity_had,q_had,elec_cs,lumi_elec,q_elec,no_of_sec_45nA,no_year_45nA
1.4249999999999998,2.2,15069,4.36943,302,0.09403,0.00016,1.86703,1.38479,2.58544,0.021519969423929437,0.020041144070608533,3.594627414317797e+34,2.714770345380105e-08,0.0002899615103855598,3.205147293416994e+38,0.0002420806112852714,5379.569139672698,0.00017058501838130067
1.4249999999999998,2.7,22759,2.86232,691,0.08323,0.0001,1.30455,1.31678,1.7178,0.0290778110064563,0.03036161518520146,4.0040149261157886e+34,3.023952062620488e-08,0.00012576650995210686,5.4689414874444316e+38,0.00041306204587948875,9179.15657509975,0.0002910691455828181
1.4249999999999998,3.25,18782,1.05351,747,0.04595,6e-05,0.90933,1.25573,1.14188,0.04361610236257843,0.039772122244702376,4.015713086484374e+34,3.032786863895758e-08,5.6091470556916195e-05,8.174972796517954e+38,0.0006174450752657064,13721.001672571254,0.00043509010884612044
1.4249999999999998,3.85,26224,0.6934,1376,0.03736,4e-05,0.65308,1.20075,0.78419,0.053879434669743285,0.052471018913971934,4.733535794500704e+34,3.574908084359719e-08,2.6441427699816962e-05,1.4038543897216276e+39,0.0010603129831734347,23562.510737187436,0.0007471623140914332
1.4249999999999998,4.6,30093,0.34742,1848,0.02338,3e-05,0.45003,1.14412,0.51489,0.06729606815957631,0.061409630146545706,5.7719936891850005e+34,4.359182606438335e-08,1.154487754627322e-05,2.5742514970059875e+39,0.0019442987137507457,43206.638083349906,0.0013700735059408266
1.4249999999999998,5.5,37162,0.18554,2676,0.01495,2e-05,0.31231,1.0887,0.34001,0.08057561711760267,0.07200904149399924,7.300198430126835e+34,5.513328623311558e-08,4.992734513750606e-06,4.971505016722408e+39,0.003754913154624175,83442.51454720389,0.002645944778894086
1.4249999999999998,6.5,37311,0.08061,3063,0.00776,1e-05,0.21319,1.03836,0.22137,0.0962659719637762,0.08209375251266382,9.385089757363819e+34,7.087901032674131e-08,2.160488863873925e-06,9.61623711340206e+39,0.007263018967826329,161400.42150725177,0.0051179737920868775
1.4249999999999998,7.5,37365,0.03896,3107,0.00391,1e-05,0.15362,0.99647,0.15308,0.1003593429158111,0.08315268299210492,1.3018283738439422e+35,9.83179800501429e-08,1.0426870065569384e-06,1.9112531969309458e+40,0.014435447106729197,320787.71348287107,0.010172111665489316
1.4249999999999998,8.5,37615,0.0206,2928,0.00189,0.0,0.11538,0.96082,0.11086,0.09174757281553397,0.07784128672072312,1.966348709989338e+35,1.4850454723882921e-07,5.476538614914263e-07,3.980423280423281e+40,0.030063619942774025,668080.4431727561,0.021184691881429355
1.4249999999999998,9.5,37540,0.01139,2593,0.00114,0.0,0.0883,0.92994,0.08212,0.10008779631255486,0.06907298881193394,2.4333239333111154e+35,1.8377191551326297e-07,3.0340969632392117e-07,6.585964912280701e+40,0.049742937403932784,1105398.608976284,0.0350519599497807
1.4249999999999998,10.5,37973,0.00686,1888,0.00066,0.0,0.07057,0.90281,0.06371,0.09620991253644315,0.049719537566165435,3.2628910356111738e+35,2.4642330908626034e-07,1.806546756906223e-07,1.1506969696969696e+41,0.08691064725807926,1931347.7168462058,0.061242634349511854
1.475,2.2,14965,7.35114,343,0.17283,0.00017,2.8762,1.38479,3.98293,0.023510639166170147,0.022920147009689276,2.13581132888176e+34,1.6130287205511364e-08,0.0004912221850985634,1.731759532488572e+38,0.00013079754777104018,2906.612172689782,9.216806737347101e-05
1.475,2.7,22783,5.00935,836,0.19368,0.00011,2.06284,1.31678,2.71631,0.03866369888308862,0.03669402624764079,1.904352162298998e+34,1.4382238216894477e-08,0.00021987227318614758,2.3526435357290373e+38,0.00017769210994932305,3948.713554429401,0.00012521288541442798
1.475,3.25,18979,1.87425,903,0.1008,7e-05,1.44152,1.25573,1.81015,0.05378151260504202,0.047578902998050475,2.054387757920614e+34,1.5515351996983716e-08,9.875388587386058e-05,3.765674603174603e+38,0.0002844165108137917,6320.3669069731495,0.00020041751988118816
1.475,3.85,26519,1.26125,1631,0.08368,5e-05,1.0536,1.20075,1.26511,0.06634687809712587,0.06150307326822278,2.3827650141381607e+34,1.7995355442475345e-08,4.7560239828047814e-05,6.3381931166347986e+38,0.00047871549219296054,10638.122048732457,0.0003373326372632058
1.475,4.6,30210,0.63227,2206,0.05078,3e-05,0.7289,1.14412,0.83395,0.08031378999478071,0.07302217808672624,2.986069158763437e+34,2.255168913800647e-08,2.092916252896392e-05,1.1898385191020085e+39,0.0008986695763610335,19970.43503024519,0.0006332583406343604
1.475,5.5,37826,0.3476,3200,0.03239,2e-05,0.5117,1.0887,0.55709,0.09318181818181819,0.08459789562734626,3.8527732743625517e+34,2.909729834878447e-08,9.18944641252049e-06,2.3356591540598945e+39,0.0017640930166615515,39202.06703692337,0.0012430893910744347
1.475,6.5,37488,0.15346,3400,0.01504,1e-05,0.35839,1.03836,0.37214,0.09800599504756939,0.09069568928723858,5.48366606481889e+34,4.141428944051726e-08,4.093576611182245e-06,4.985106382978723e+39,0.0037651860898630838,83670.80199695742,0.0026531837264382745
1.475,7.5,37516,0.07473,3541,0.00737,1e-05,0.25967,0.99647,0.25875,0.09862170480396092,0.09438639513807442,7.837492379997248e+34,5.919109115623629e-08,1.9919501012901163e-06,1.0180732700135686e+40,0.007689375151159882,170875.0033591085,0.005418410811742405
1.475,8.5,37778,0.03988,3300,0.00353,1e-05,0.19638,0.96082,0.18869,0.08851554663991977,0.08735242733866272,1.1974614897375778e+35,9.043588020070823e-08,1.0556408491714754e-06,2.140396600566572e+40,0.016166137466514893,359247.49925588653,0.011391663472091786
1.475,9.5,37874,0.02282,2745,0.00177,0.0,0.15453,0.92994,0.14371,0.0775635407537248,0.0724771611131647,1.7942600190984115e+35,1.355078935955299e-07,6.025241590537043e-07,4.2795480225988705e+40,0.03232287026132077,718286.0058071282,0.022776699828993156
1.475,10.5,37664,0.0134,2207,0.00101,0.0,0.12221,0.90281,0.11033,0.07537313432835821,0.058597068819031435,2.405026145685356e+35,1.8163478179029953e-07,3.5577740016992356e-07,7.458217821782177e+40,0.05633095031557535,1251798.8959016744,0.039694282594548276
1.525,2.2,14938,9.93379,470,0.33421,0.00019,3.5827,1.38479,4.96128,0.0336437553038669,0.0314633819788459,1.198206833288513e+34,9.049217077928502e-09,0.0006650013388673182,8.939289668172705e+37,6.75172935662591e-05,1500.3843014724243,4.757687409539651e-05
1.525,2.7,22610,6.66875,1028,0.3239,0.00012,2.53221,1.31678,3.33436,0.04856982193064668,0.045466607695709864,1.2349546139109928e+34,9.326747329589855e-09,0.0002949469261388766,1.396109910466193e+38,0.00010544636785998436,2343.2526191107636,7.430405311741387e-05
1.525,3.25,18811,2.52657,1116,0.16604,8e-05,1.7858,1.25573,2.24248,0.06571755383781173,0.05932698952740418,1.3571255525928932e+34,1.0249418870122295e-08,0.00013431343362925948,2.265839556733317e+38,0.0001711359181822747,3803.020404050549,0.00012059298592245526
1.525,3.85,26320,1.69932,1932,0.13329,5e-05,1.29759,1.20075,1.55808,0.07843725725584351,0.07340425531914893,1.636506910956782e+34,1.2359390612165108e-08,6.456382978723404e-05,3.949283517143071e+38,0.0002982842535606549,6628.538968014554,0.00021018959183201908
1.525,4.6,30325,0.87884,2515,0.08057,3e-05,0.91205,1.14412,1.0435,0.09167766601429157,0.0829348722176422,2.090614672328371e+34,1.578894851090077e-08,2.898070898598516e-05,7.527615737867692e+38,0.0005685510376033,12634.467502295554,0.00040063633632342576
1.525,5.5,37772,0.48453,3573,0.048,2e-05,0.64302,1.0887,0.70006,0.09906507337006996,0.09459387906385683,2.883859954861012e+34,2.177977460056651e-08,1.2827756009742667e-05,1.5738333333333333e+39,0.0011886958710976836,26415.463802170747,0.0008376288623214975
1.525,6.5,37524,0.21321,3814,0.02344,1e-05,0.44631,1.03836,0.46343,0.10993855822897612,0.10164161603240593,3.92550752480079e+34,2.9646609204748806e-08,5.681963543332268e-06,3.201706484641638e+39,0.002418207314684016,53737.94032631147,0.0017040189093832912
1.525,7.5,37975,0.10701,3930,0.01162,1e-05,0.32862,0.99647,0.32746,0.10858798243154846,0.10348913759052007,5.624578393146098e+34,4.2478501571981705e-08,2.817906517445688e-06,6.536144578313253e+39,0.004936665089360462,109703.66865245473,0.003478680512825175
1.525,8.5,37648,0.05707,3591,0.00544,1e-05,0.25164,0.96082,0.24178,0.09532153495707027,0.09538355291117723,8.67797900862719e+34,6.553869804869111e-08,1.5158839779005525e-06,1.3841176470588233e+40,0.010454060778389902,232312.46174199783,0.00736657983707502
1.525,9.5,37813,0.03254,3064,0.00268,0.0,0.19655,0.92994,0.18278,0.08236017209588199,0.0810303334831936,1.3285688855209671e+35,1.0033750362668734e-07,8.605506042895301e-07,2.8218656716417906e+40,0.021313184831131347,473626.3295806966,0.015018592389037817
1.525,10.5,37911,0.01935,2483,0.00141,0.0,0.15583,0.90281,0.14068,0.07286821705426356,0.06549550262456806,1.9510099879612095e+35,1.473461209849112e-07,5.104059507794571e-07,5.377446808510638e+40,0.04061515716397763,902559.0480883918,0.028619959667947482
1.5750000000000002,2.2,14987,10.50426,526,0.42108,0.0002,3.50988,1.38479,4.86044,0.04008659343923322,0.03509708413958764,1.0264912645875409e+34,7.75236964419259e-09,0.0007008914392473477,7.118362306450081e+37,5.376406575868641e-05,1194.757016859698,3.788549647576415e-05
1.5750000000000002,2.7,22812,7.23602,1130,0.40791,0.00013,2.5172,1.31678,3.31459,0.05637214933070942,0.04953533228125548,1.0703740859941868e+34,8.083785862051104e-09,0.0003172023496405401,1.1184820180922262e+38,8.447749381361223e-05,1877.277640302494,5.9528083469764524e-05
1.5750000000000002,3.25,18816,2.73566,1295,0.20633,8e-05,1.77835,1.25573,2.23313,0.0754223843606296,0.06882440476190477,1.1874510938775529e+34,8.967986510668021e-09,0.00014539009353741497,1.823874375999612e+38,0.00013775486223562025,3061.219160791561,9.70706228054148e-05
1.5750000000000002,3.85,26536,1.85432,2145,0.16889,5e-05,1.28676,1.20075,1.54508,0.09107920962940594,0.08083358456436539,1.421214963955126e+34,1.073344131074032e-08,6.98794091046126e-05,3.1424003789448748e+38,0.00023734141834931075,5274.253741095795,0.00016724548899973982
1.5750000000000002,4.6,30588,0.97447,2835,0.09955,3e-05,0.91489,1.14412,1.04675,0.10215809619588084,0.09268340525696352,1.8703127532218363e+34,1.412516239877529e-08,3.1857918137831825e-05,6.145253641386238e+38,0.000464143024273885,10314.289428308555,0.00032706397223200643
1.5750000000000002,5.5,37509,0.52345,3869,0.06131,2e-05,0.63587,1.0887,0.69228,0.11712675518196582,0.1031485776746914,2.4665623533910344e+34,1.862821806050173e-08,1.3955317390492948e-05,1.223585059533518e+39,0.0009241578999497869,20536.842221106377,0.000651218994834677
1.5750000000000002,6.5,37756,0.23715,4115,0.02865,1e-05,0.44691,1.03836,0.46405,0.12080961416824794,0.10898929971395276,3.5674978605731123e+34,2.6942812933865357e-08,6.281120881449306e-06,2.635671902268761e+39,0.0019906887479371306,44237.527731936236,0.0014027628022557153
1.5750000000000002,7.5,38082,0.11743,4094,0.0142,1e-05,0.32481,0.99647,0.32366,0.12092310312526612,0.1075048579381335,5.110126867613641e+34,3.859320948277049e-08,3.083609054146316e-06,5.363661971830985e+39,0.004051104208331559,90024.53796292354,0.0028546593722388234
1.5750000000000002,8.5,37499,0.06215,3807,0.00686,1e-05,0.24792,0.96082,0.23821,0.11037811745776348,0.10152270727219392,7.606537730446577e+34,5.744685243143702e-08,1.6573775300674683e-06,1.093265306122449e+40,0.00825729083174055,183495.35181645668,0.005818599436087541
1.5750000000000002,9.5,37870,0.0359,3426,0.00367,0.0,0.19463,0.92994,0.18099,0.10222841225626741,0.09046738843411671,1.0809455051410398e+35,8.163624387440826e-08,9.479799313440719e-07,2.0637602179836508e+40,0.015587312824649929,346384.7294366651,0.010983787716789227
1.5750000000000002,10.5,37692,0.02131,2518,0.00173,0.0,0.15486,0.90281,0.13981,0.08118254340685124,0.06680462697654675,1.762094138494315e+35,1.3307862989912505e-07,5.653719622200998e-07,4.357456647398843e+40,0.03291130398337495,731362.3107416655,0.02319134673838361
1.625,2.2,15084,12.57825,581,0.51933,0.00021,3.91601,1.38479,5.42284,0.041287937511180005,0.038517634579687085,8.93264379483216e+33,6.74620028308448e-09,0.0008338802704852825,5.809023164461904e+37,4.387479731466695e-05,974.9954958814877,3.091690435950938e-05
1.625,2.7,22610,8.6618,1377,0.57828,0.00014,2.8348,1.31678,3.73281,0.06676210487427556,0.06090225563909774,8.025352000432169e+33,6.0609863306639735e-09,0.00038309597523219813,7.819741301791519e+37,5.906149019479998e-05,1312.4775598844442,4.1618390407294655e-05
1.625,3.25,19027,3.3246,1408,0.26234,9e-05,1.98335,1.25573,2.49055,0.07890874090116104,0.07400010511378567,1.0176761977458601e+34,7.685795617746847e-09,0.00017473064592421296,1.450560341541511e+38,0.00010955893818289357,2434.6430707309682,7.720202532759286e-05
1.625,3.85,26403,2.27143,2292,0.20702,6e-05,1.46401,1.20075,1.7579,0.09114082318187221,0.08680831723667765,1.2483112449809018e+34,9.427620610081578e-09,8.602923910161725e-05,2.5507680417350977e+38,0.000192656196505672,4281.248811237156,0.00013575750923506963
1.625,4.6,30207,1.16878,3030,0.12225,4e-05,1.02266,1.14412,1.17005,0.10459624565786547,0.10030787565796008,1.6342160757466797e+34,1.2342089538151798e-08,3.869235607640613e-05,4.941840490797546e+38,0.00037325079235631006,8294.462052362445,0.00026301566629764224
1.625,5.5,37783,0.64234,4198,0.07558,2e-05,0.71014,1.0887,0.77313,0.1176635426721051,0.11110817034115872,2.1985459647886886e+34,1.660407797589826e-08,1.7000767540957573e-05,9.998147658110612e+38,0.0007551471040869041,16781.046757486758,0.0005321235019497323
1.625,6.5,37861,0.28873,4585,0.03828,2e-05,0.49566,1.03836,0.51468,0.13258061164409657,0.1211008689680674,2.9309788537484084e+34,2.2135630645331984e-08,7.626053194580174e-06,1.978108672936259e+39,0.0014940397831844855,33200.88407076635,0.001052793127561084
1.625,7.5,37791,0.14319,4423,0.01787,1e-05,0.36353,0.99647,0.36225,0.12479921782247363,0.11703844830779815,4.423945194242753e+34,3.341095985380827e-08,3.78899738032865e-06,4.229546726357023e+39,0.0031945216966442766,70989.37103653948,0.0022510581886269494
1.625,8.5,37797,0.07608,4015,0.00877,1e-05,0.27352,0.96082,0.2628,0.11527339642481599,0.10622536180120115,6.602000385290243e+34,4.986028536583523e-08,2.0128581633462973e-06,8.619612314709235e+39,0.0065102812044631675,144672.91565473707,0.004587548061096431
1.625,9.5,37957,0.04377,3484,0.00453,1e-05,0.21462,0.92994,0.19958,0.10349554489376285,0.09178807598071502,9.68258508430618e+34,7.312578418779684e-08,1.1531469821113365e-06,1.6758057395143486e+40,0.012657143047691452,281269.8455042545,0.008919008292245513
1.625,10.5,37725,0.02571,2723,0.00219,0.0,0.16885,0.90281,0.15244,0.08518086347724621,0.07218025182239894,1.5402421972444582e+35,1.1632370646057383e-07,6.815109343936381e-07,3.4452054794520547e+40,0.02602118942184331,578248.6538187403,0.018336144527484152
1.6749999999999998,2.2,15322,16.95549,764,0.8254,0.00023,4.91152,1.38479,6.80142,0.048680397912416566,0.04986294217465083,6.040547197780576e+33,4.562002264013726e-09,0.0011066107557760085,3.7126241822146836e+37,2.8040968143615433e-05,623.1326254136764,1.9759405930164775e-05
1.6749999999999998,2.7,22700,11.61259,1422,0.75404,0.00014,3.55726,1.31678,4.68412,0.06493297360881595,0.0626431718061674,6.575619751375896e+33,4.966105091289098e-09,0.0005115678414096917,6.020900747970929e+37,4.547508117802816e-05,1010.5573595117369,3.204456365777958e-05
1.6749999999999998,3.25,18905,4.48452,1520,0.35254,9e-05,2.51799,1.25573,3.16191,0.0786126497373186,0.08040201005025126,8.046148739815713e+33,6.076692651473236e-09,0.00023721343559904786,1.0725024110739207e+38,8.100471382733539e-05,1800.1047517185643,5.708094722598187e-05
1.6749999999999998,3.85,26384,3.14139,2496,0.29881,6e-05,1.88684,1.20075,2.26563,0.09512031298246955,0.09460278956943602,9.280422286874608e+33,7.00885302233563e-09,0.00011906420557913887,1.765938221612396e+38,0.00013337901975924438,2963.9782168720976,9.39871327014237e-05
1.6749999999999998,4.6,30267,1.64445,3253,0.17098,4e-05,1.33166,1.14412,1.52358,0.10397397306090182,0.1074767899031949,1.262525309411752e+34,9.534969484266686e-09,5.433145009416196e-05,3.54041408351854e+38,0.00026740287639868125,5942.2861421929165,0.00018842865747694434
1.6749999999999998,5.5,37887,0.92684,4487,0.10517,3e-05,0.94381,1.0887,1.02752,0.11347158085537958,0.11843112413228812,1.7153494452057524e+34,1.295483305796958e-08,2.44632723625518e-05,7.204906342112768e+38,0.0005441772161716592,12092.827026036872,0.0003834610294912757
1.6749999999999998,6.5,37943,0.42258,4779,0.05188,2e-05,0.66618,1.03836,0.69173,0.12276965308343983,0.1259520860237725,2.355062058710786e+34,1.778613442119769e-08,1.1137232164035528e-05,1.4627216653816497e+39,0.001104774671738406,24550.548260853466,0.0007784927784390368
1.6749999999999998,7.5,37859,0.21132,4483,0.02418,1e-05,0.49135,0.99647,0.48962,0.1144236229415105,0.11841305898201221,3.5698926082646967e+34,2.6960898786078818e-08,5.581763913468396e-06,3.131430934656741e+39,0.002365129104725635,52558.424549458556,0.0016666167094577169
1.6749999999999998,8.5,37846,0.11525,4221,0.01193,1e-05,0.37872,0.96082,0.36388,0.10351409978308025,0.11153094118268773,5.309728316060092e+34,4.0100659437052275e-08,3.045235956243725e-06,6.344677284157586e+39,0.004792052329424158,106490.05176498128,0.003376777389807879
1.6749999999999998,9.5,37386,0.06557,3515,0.00568,1e-05,0.29802,0.92994,0.27714,0.08662498093640385,0.09401915155405767,8.330817698280321e+34,6.29168317972987e-08,1.7538650831862195e-06,1.316408450704225e+40,0.009942662014382363,220948.04476405252,0.007006216538687612
1.6749999999999998,10.5,37855,0.03988,2811,0.00266,0.0,0.23786,0.90281,0.21474,0.06670010030090272,0.07425703341698586,1.396338009034881e+35,1.0545563092174916e-07,1.0534935939770175e-06,2.8462406015037593e+40,0.02149728550984712,477717.4557743805,0.015148321149618863
1.725,2.2,15029,20.35341,777,0.93724,0.00024,5.7202,1.38479,7.92127,0.046048303453819286,0.05170004657661854,5.483041648942839e+33,4.140957366469933e-09,0.001354275733581742,3.20707609577056e+37,2.4222629122134138e-05,538.2806471585365,1.7068767350283372e-05
1.725,2.7,22492,14.10074,1629,0.91059,0.00015,4.12491,1.31678,5.43159,0.06457746189207092,0.07242575137826783,5.701932132322038e+33,4.3062700191239615e-09,0.0006269224613195803,4.940093785347961e+37,3.731188659628368e-05,829.1530354729707,2.6292270277554882e-05
1.725,3.25,18806,5.60546,1613,0.44387,0.0001,2.97911,1.25573,3.74096,0.07918529433802043,0.08577049877698607,6.751533015676e+33,5.098960060173702e-09,0.0002980676379878762,8.4736521954626355e+37,6.40003942255486e-05,1422.230982789969,4.5098648617134985e-05
1.725,3.85,26150,3.85978,2723,0.37419,7e-05,2.1931,1.20075,2.63336,0.09694593992403712,0.1041300191204589,7.834118483805648e+33,5.916561048112414e-09,0.00014760152963671128,1.3976856677089178e+38,0.00010556538275747113,2345.8973946104697,7.43879183983533e-05
1.725,4.6,30351,2.11217,3458,0.21171,4e-05,1.59244,1.14412,1.82195,0.10023340924262726,0.11393364304306283,1.0951687399486122e+34,8.271042519059074e-09,6.959144673981088e-05,2.867224032875159e+38,0.00021655770641051047,4812.393475789122,0.0001525999960612989
1.725,5.5,37915,1.20202,4697,0.12841,3e-05,1.13728,1.0887,1.23815,0.10682850534932863,0.1238823684557563,1.5120619384859346e+34,1.1419544886986893e-08,3.170301991296321e-05,5.905303325286192e+38,0.00044601988861678186,9911.55308037293,0.00031429328641466677
1.725,6.5,37929,0.55475,4850,0.06266,2e-05,0.8105,1.03836,0.84159,0.11295178008111761,0.12787049487199767,2.103954529217144e+34,1.5889695107749745e-08,1.4626011758812518e-05,1.21062879029684e+39,0.0009143721981093956,20319.38218020879,0.0006443233821730337
1.725,7.5,37778,0.28125,4729,0.03001,1e-05,0.60528,0.99647,0.60314,0.10670222222222221,0.12517867541955635,3.1076950762077e+34,2.3470244514822896e-08,7.444809148181481e-06,2.5176941019660114e+39,0.0019015816480105823,42257.36995579072,0.001339972411079107
1.725,8.5,37850,0.15382,4462,0.01491,1e-05,0.46552,0.96082,0.44728,0.09693147835131971,0.11788639365918098,4.613023637562572e+34,3.4838936919889525e-08,4.063936591809776e-06,5.077129443326627e+39,0.0038346899118781165,85215.33137506926,0.002702160431731014
